,Crash ID,Month,Year,Dayweek,Time,Crash Type,Number Fatalities,Speed Limit,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Count
685,20195026,12,2019,Tuesday,2:40,Multiple,1,110,Arterial Road,No,No,Weekday,Night,1
692,20195109,12,2019,Wednesday,5:07,Pedestrian,1,90,Arterial Road,Yes,No,Weekday,Night,1
693,20195055,12,2019,Sunday,10:40,Multiple,1,100,National or State Highway,No,No,Weekend,Day,1
694,20195098,12,2019,Sunday,13:30,Single,1,80,Local Road,No,No,Weekend,Day,1
715,20195115,12,2019,Saturday,12:48,Single,1,110,National or State Highway,No,No,Weekend,Day,1
716,20195083,12,2019,Saturday,13:50,Single,1,110,Arterial Road,No,No,Weekend,Day,1
717,20195099,12,2019,Sunday,15:00,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
726,20195120,12,2019,Sunday,3:45,Pedestrian,1,110,Arterial Road,No,No,Weekend,Night,1
727,20195037,12,2019,Saturday,12:48,Single,1,110,,No,No,Weekend,Day,1
728,20195070,12,2019,Friday,20:35,Single,1,110,National or State Highway,No,No,Weekend,Night,1
744,20195096,12,2019,Wednesday,14:50,Multiple,1,110,Arterial Road,No,No,Weekday,Day,1
757,20195033,12,2019,Thursday,0:05,Single,1,80,Local Road,Yes,No,Weekday,Night,1
758,20195046,12,2019,Friday,16:53,Multiple,2,100,National or State Highway,No,No,Weekday,Day,1
766,20195048,11,2019,Wednesday,19:07,Single,1,110,Arterial Road,No,No,Weekday,Night,1
776,20195011,11,2019,Thursday,17:32,Single,1,80,Local Road,No,No,Weekday,Day,1
777,20195093,11,2019,Thursday,19:31,Pedestrian,1,60,Arterial Road,No,No,Weekday,Night,1
778,20195097,11,2019,Wednesday,14:38,Single,1,70,Arterial Road,No,No,Weekday,Day,1
791,20195045,11,2019,Sunday,6:10,Single,1,110,Arterial Road,No,No,Weekend,Day,1
817,20195149,11,2019,Sunday,20:55,Pedestrian,1,50,Arterial Road,No,No,Weekend,Night,1
818,20195151,11,2019,Saturday,10:40,Single,1,110,Local Road,No,No,Weekend,Day,1
836,20195036,11,2019,Thursday,12:30,Single,1,50,Local Road,No,No,Weekday,Day,1
837,20195002,11,2019,Friday,5:22,Single,1,110,Arterial Road,No,No,Weekday,Night,1
855,20195141,10,2019,Friday,22:09,Single,2,50,Local Road,No,No,Weekend,Night,1
869,20195030,10,2019,Thursday,8:10,Single,1,110,National or State Highway,No,No,Weekday,Day,1
870,20195034,10,2019,Tuesday,17:29,Single,1,110,National or State Highway,No,No,Weekday,Day,1
878,20195101,10,2019,Thursday,11:33,Single,1,110,Arterial Road,No,No,Weekday,Day,1
896,20195016,10,2019,Tuesday,17:30,Multiple,2,80,Local Road,No,No,Weekday,Day,1
906,20195080,10,2019,Wednesday,16:00,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
920,20195126,10,2019,Thursday,18:35,Single,1,80,National or State Highway,No,No,Weekday,Night,1
944,20195062,9,2019,Wednesday,20:38,Multiple,1,60,Arterial Road,No,No,Weekday,Night,1
945,20195074,9,2019,Tuesday,18:25,Pedestrian,1,50,,No,No,Weekday,Night,1
956,20195110,9,2019,Tuesday,10:17,Single,1,60,Arterial Road,No,No,Weekday,Day,1
960,20195104,9,2019,Thursday,13:54,Single,1,100,Arterial Road,No,No,Weekday,Day,1
967,20195077,9,2019,Thursday,12:26,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
997,20195056,9,2019,Friday,12:03,Single,1,80,National or State Highway,No,No,Weekday,Day,1
998,20195116,9,2019,Monday,22:20,Multiple,1,110,National or State Highway,No,No,Weekday,Night,1
999,20195152,9,2019,Wednesday,10:45,Multiple,1,60,National or State Highway,No,No,Weekday,Day,1
1000,20195022,9,2019,Sunday,11:40,Multiple,1,60,Arterial Road,No,No,Weekend,Day,1
1001,20195075,9,2019,Sunday,13:51,Multiple,2,100,Arterial Road,No,No,Weekend,Day,1
1016,20195021,9,2019,Monday,11:45,Single,1,110,National or State Highway,No,No,Weekday,Day,1
1035,20195078,8,2019,Tuesday,15:10,Single,1,110,Local Road,No,No,Weekday,Day,1
1043,20195135,8,2019,Wednesday,19:31,Multiple,1,50,Local Road,No,No,Weekday,Night,1
1044,20195050,8,2019,Thursday,0:02,Single,1,60,Arterial Road,No,No,Weekday,Night,1
1048,20195038,8,2019,Sunday,16:50,Multiple,1,50,Local Road,No,No,Weekend,Day,1
1060,20195125,8,2019,Saturday,17:10,Single,2,110,,No,No,Weekend,Day,1
1061,20195129,8,2019,Thursday,3:57,Single,1,110,National or State Highway,No,No,Weekday,Night,1
1062,20195064,8,2019,Saturday,15:57,Single,1,110,National or State Highway,No,No,Weekend,Day,1
1063,20195084,8,2019,Monday,19:29,Single,1,110,Arterial Road,No,No,Weekday,Night,1
1075,20195057,8,2019,Friday,17:55,Single,1,80,Local Road,No,No,Weekday,Day,1
1086,20195102,8,2019,Wednesday,9:09,Multiple,1,60,Local Road,No,No,Weekday,Day,1
1087,20195028,8,2019,Saturday,17:44,Multiple,1,50,Local Road,No,No,Weekend,Day,1
1088,20195029,8,2019,Tuesday,18:20,Multiple,1,110,Arterial Road,No,No,Weekday,Night,1
1100,20195019,8,2019,Tuesday,19:20,Multiple,1,60,Arterial Road,No,No,Weekday,Night,1
1101,20195092,8,2019,Wednesday,14:32,Single,1,110,Arterial Road,No,No,Weekday,Day,1
1109,20195076,8,2019,Saturday,6:09,Single,1,60,Arterial Road,No,No,Weekend,Day,1
1120,20195142,7,2019,Monday,14:56,Single,1,80,Local Road,No,No,Weekday,Day,1
1133,20195136,7,2019,Tuesday,2:40,Multiple,1,60,Arterial Road,No,No,Weekday,Night,1
1141,20195130,7,2019,Tuesday,23:44,Single,1,110,National or State Highway,No,No,Weekday,Night,1
1142,20195013,7,2019,Wednesday,21:25,Single,1,50,Local Road,No,No,Weekday,Night,1
